                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6671,                 8.4652,                 3.9986,                      0,                      0,                      0,                      0,                 6.4142,                 8.1484,                 4.2737,             5.8973e-05,             5.8973e-05,             5.8973e-05
                      2,                 3.6948,                 5.5662,                 3.1017,                0.00757,                0.48484,                0.01006,                0.00269,                 2.7401,                 5.2151,                 2.4623,             0.00011277,             0.00011277,             0.00011277
                      3,                 2.7625,                 4.5802,                 2.3432,                0.00947,                 0.6615,                0.01582,                0.00507,                 2.2769,                 4.2201,                 2.1066,             0.00016065,             0.00016065,             0.00016065
                      4,                 2.3035,                 4.0305,                 1.9354,                0.01275,                0.73727,                0.02293,                 0.0119,                 1.8056,                 4.1204,                 1.7037,             0.00015242,             0.00015242,             0.00015242
                      5,                 1.9722,                 3.6936,                 1.6522,                0.01327,                0.90811,                0.03177,                 0.0172,                 1.6009,                 3.6319,                 1.5164,             0.00014356,             0.00014356,             0.00014356
                      6,                 1.6966,                 3.4606,                 1.4812,                0.01395,                0.98814,                0.05001,                0.03221,                  1.318,                 3.2877,                 1.3135,              0.0001347,              0.0001347,              0.0001347
                      7,                 1.5737,                 3.2652,                 1.3643,                0.07358,                0.47393,                0.06856,                0.04199,                 1.4485,                 3.1635,                 1.2931,             0.00012584,             0.00012584,             0.00012584
                      8,                 1.4345,                 3.0806,                 1.2845,                0.08644,                0.27699,                0.07715,                0.05558,                 1.0295,                 2.9143,                 1.1451,             0.00011698,             0.00011698,             0.00011698
                      9,                 1.3349,                 2.9396,                   1.21,                0.17728,                0.22226,                0.08813,                0.06245,                 1.1329,                 2.8182,                 1.1437,             0.00010812,             0.00010812,             0.00010812
                     10,                 1.3134,                 2.8645,                 1.1857,                 0.1121,                0.38618,                0.10603,                0.07876,                0.99342,                 2.7237,                  1.105,             9.9255e-05,             9.9255e-05,             9.9255e-05
                     11,                 1.1209,                 2.7919,                 1.2011,                0.13125,                0.32886,                0.12104,                0.09014,                0.99176,                 2.6486,                 1.0783,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     12,                 1.0636,                 2.6721,                 1.1514,                0.13461,                0.32651,                0.14974,                0.10937,                0.99356,                 2.5834,                 1.0588,             8.1534e-05,             8.1534e-05,             8.1534e-05
                     13,                 1.0164,                 2.5933,                 1.1142,                0.12637,                0.42596,                0.16464,                0.12795,                0.87139,                 2.4918,                 1.0144,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     14,                0.97395,                  2.527,                 1.0939,                0.15002,                0.42182,                0.17916,                0.14056,                0.84129,                 2.4015,                 1.0084,             6.3813e-05,             6.3813e-05,             6.3813e-05
                     15,                 0.9319,                 2.4546,                  1.072,                0.14216,                0.44283,                0.19544,                0.15652,                0.81068,                 2.3958,                0.99097,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     16,                0.92325,                 2.4089,                 1.0689,                0.19688,                0.46614,                0.21583,                0.16755,                0.87236,                 2.3599,                 1.0014,             4.6092e-05,             4.6092e-05,             4.6092e-05
                     17,                0.89831,                 2.3684,                 1.0468,                0.16565,                0.48154,                0.22318,                0.18105,                0.76379,                 2.2653,                0.97409,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     18,                0.88224,                 2.3329,                 1.0482,                0.17869,                0.48339,                0.22522,                0.17787,                0.80875,                 2.2742,                0.99038,             2.8372e-05,             2.8372e-05,             2.8372e-05
                     19,                0.86932,                 2.2919,                 1.0405,                 0.1889,                0.48174,                0.25322,                0.20871,                0.73146,                 2.1821,                0.96236,             1.9511e-05,             1.9511e-05,             1.9511e-05
                     20,                0.85452,                 2.2651,                 1.0373,                0.18643,                0.50998,                0.25576,                0.20931,                0.74607,                 2.1672,                0.96623,             1.0651e-05,             1.0651e-05,             1.0651e-05
